
Count: 3  Balance: 99.96400000000003  Reward: -1409.0170000000003  Higest ballance 100  Max_lose: -0.02400000000000091  Max_profit: 0.019000000000019668  Number of losses: 7  Number of wins: 8
Count: 4  Balance: 100.007  Reward: -1408.0129999999997  Higest ballance 100.02900000000002  Max_lose: -1.0050000000000097  Max_profit: 2.0009999999999906  Number of losses: 4  Number of wins: 6
Count: 5  Balance: 99.96600000000002  Reward: -1421.0550000000003  Higest ballance 100.00800000000001  Max_lose: -0.02599999999999625  Max_profit: 0.005000000000009663  Number of losses: 2  Number of wins: 5
Count: 6  Balance: 100.07100000000001  Reward: -1424.929  Higest ballance 100.07100000000001  Max_lose: -0.00899999999998613  Max_profit: 0.06999999999999318  Number of losses: 2  Number of wins: 4
Count: 7  Balance: 98.98499999999999  Reward: -1413.0200000000002  Higest ballance 100  Max_lose: -1.0080000000000098  Max_profit: 1.0030000000000143  Number of losses: 5  Number of wins: 7
Count: 8  Balance: 96.977  Reward: -1421.052  Higest ballance 100.006  Max_lose: -2.0119999999999862  Max_profit: 0.006000000000000227  Number of losses: 5  Number of wins: 4
Count: 9  Balance: 105.97800000000005  Reward: -1409.026  Higest ballance 105.99100000000004  Max_lose: -0.012999999999991019  Max_profit: 3.9850000000000136  Number of losses: 3  Number of wins: 8
Count: 10  Balance: 100.03000000000004  Reward: -1413.975  Higest ballance 100.04000000000005  Max_lose: -0.010000000000005116  Max_profit: 0.030000000000015348  Number of losses: 4  Number of wins: 8
Count: 11  Balance: 101.01900000000002  Reward: -1420.9769999999999  Higest ballance 101.01900000000002  Max_lose: -0.011999999999986244  Max_profit: 1.0050000000000097  Number of losses: 1  Number of wins: 5
Count: 12  Balance: 99.99200000000002  Reward: -1434.008  Higest ballance 100  Max_lose: -0.007999999999981355  Max_profit: 0  Number of losses: 1  Number of wins: 1
Count: 13  Balance: 99.982  Reward: -1413.021  Higest ballance 100.004  Max_lose: -0.012999999999991019  Max_profit: 0.008000000000009777  Number of losses: 5  Number of wins: 8
